requirement_id,requirement_text,Budget,Space,Compliance,Security
119,Requirement 119: Hostel management system should handle 9 different scenarios.,0,0,0,0
120,Requirement 120: Hostel management system should handle 10 different scenarios.,0,0,0,0
121,Requirement 121: Hostel management system should handle 1 different scenarios.,0,0,0,0
122,Requirement 122: Hostel management system should handle 2 different scenarios.,0,0,0,0
123,Requirement 123: Hostel management system should handle 3 different scenarios.,0,0,0,0
124,Requirement 124: Hostel management system should handle 4 different scenarios.,0,0,0,0
125,Requirement 125: Hostel management system should handle 5 different scenarios.,0,0,0,0
126,Requirement 126: Hostel management system should handle 6 different scenarios.,0,0,0,0
127,Requirement 127: Hostel management system should handle 7 different scenarios.,0,0,0,0
128,Requirement 128: Hostel management system should handle 8 different scenarios.,0,0,0,0
129,Requirement 129: Hostel management system should handle 9 different scenarios.,0,0,0,0
130,Requirement 130: Hostel management system should handle 10 different scenarios.,0,0,0,0
131,Requirement 131: Hostel management system should handle 1 different scenarios.,0,0,0,0
132,Requirement 132: Hostel management system should handle 2 different scenarios.,0,0,0,0
133,Requirement 133: Hostel management system should handle 3 different scenarios.,0,0,0,0
134,Requirement 134: Hostel management system should handle 4 different scenarios.,0,0,0,0
135,Requirement 135: Hostel management system should handle 5 different scenarios.,0,0,0,0
136,Requirement 136: Hostel management system should handle 6 different scenarios.,0,0,0,0
137,Requirement 137: Hostel management system should handle 7 different scenarios.,0,0,0,0
138,Requirement 138: Hostel management system should handle 8 different scenarios.,0,0,0,0
139,Requirement 139: Hostel management system should handle 9 different scenarios.,0,0,0,0
140,Requirement 140: Hostel management system should handle 10 different scenarios.,0,0,0,0
141,Requirement 141: Hostel management system should handle 1 different scenarios.,0,0,0,0
142,Requirement 142: Hostel management system should handle 2 different scenarios.,0,0,0,0
143,Requirement 143: Hostel management system should handle 3 different scenarios.,0,0,0,0
144,Requirement 144: Hostel management system should handle 4 different scenarios.,0,0,0,0
145,Requirement 145: Hostel management system should handle 5 different scenarios.,0,0,0,0
146,Requirement 146: Hostel management system should handle 6 different scenarios.,0,0,0,0
147,Requirement 147: Hostel management system should handle 7 different scenarios.,0,0,0,0
148,Requirement 148: Hostel management system should handle 8 different scenarios.,0,0,0,0
149,Requirement 149: Hostel management system should handle 9 different scenarios.,0,0,0,0
150,Requirement 150: Hostel management system should handle 10 different scenarios.,0,0,0,0
151,Requirement 151: Hostel management system should handle 1 different scenarios.,0,0,0,0
152,Requirement 152: Hostel management system should handle 2 different scenarios.,0,0,0,0
153,Requirement 153: Hostel management system should handle 3 different scenarios.,0,0,0,0
154,Requirement 154: Hostel management system should handle 4 different scenarios.,0,0,0,0
155,Requirement 155: Hostel management system should handle 5 different scenarios.,0,0,0,0
156,Requirement 156: Hostel management system should handle 6 different scenarios.,0,0,0,0
157,Requirement 157: Hostel management system should handle 7 different scenarios.,0,0,0,0
158,Requirement 158: Hostel management system should handle 8 different scenarios.,0,0,0,0
159,Requirement 159: Hostel management system should handle 9 different scenarios.,0,0,0,0
160,Requirement 160: Hostel management system should handle 10 different scenarios.,0,0,0,0
161,Requirement 161: Hostel management system should handle 1 different scenarios.,0,0,0,0
162,Requirement 162: Hostel management system should handle 2 different scenarios.,0,0,0,0
163,Requirement 163: Hostel management system should handle 3 different scenarios.,0,0,0,0
164,Requirement 164: Hostel management system should handle 4 different scenarios.,0,0,0,0
165,Requirement 165: Hostel management system should handle 5 different scenarios.,0,0,0,0
166,Requirement 166: Hostel management system should handle 6 different scenarios.,0,0,0,0
167,Requirement 167: Hostel management system should handle 7 different scenarios.,0,0,0,0
168,Requirement 168: Hostel management system should handle 8 different scenarios.,0,0,0,0
169,Requirement 169: Hostel management system should handle 9 different scenarios.,0,0,0,0
170,Requirement 170: Hostel management system should handle 10 different scenarios.,0,0,0,0
171,Requirement 171: Hostel management system should handle 1 different scenarios.,0,0,0,0
172,Requirement 172: Hostel management system should handle 2 different scenarios.,0,0,0,0
173,Requirement 173: Hostel management system should handle 3 different scenarios.,0,0,0,0
174,Requirement 174: Hostel management system should handle 4 different scenarios.,0,0,0,0
175,Requirement 175: Hostel management system should handle 5 different scenarios.,0,0,0,0
176,Requirement 176: Hostel management system should handle 6 different scenarios.,0,0,0,0
177,Requirement 177: Hostel management system should handle 7 different scenarios.,0,0,0,0
178,Requirement 178: Hostel management system should handle 8 different scenarios.,0,0,0,0
179,Requirement 179: Hostel management system should handle 9 different scenarios.,0,0,0,0
180,Requirement 180: Hostel management system should handle 10 different scenarios.,0,0,0,0
181,Requirement 181: Hostel management system should handle 1 different scenarios.,0,0,0,0
182,Requirement 182: Hostel management system should handle 2 different scenarios.,0,0,0,0
183,Requirement 183: Hostel management system should handle 3 different scenarios.,0,0,0,0
184,Requirement 184: Hostel management system should handle 4 different scenarios.,0,0,0,0
185,Requirement 185: Hostel management system should handle 5 different scenarios.,0,0,0,0
186,Requirement 186: Hostel management system should handle 6 different scenarios.,0,0,0,0
187,Requirement 187: Hostel management system should handle 7 different scenarios.,0,0,0,0
188,Requirement 188: Hostel management system should handle 8 different scenarios.,0,0,0,0
189,Requirement 189: Hostel management system should handle 9 different scenarios.,0,0,0,0
190,Requirement 190: Hostel management system should handle 10 different scenarios.,0,0,0,0
191,Requirement 191: Hostel management system should handle 1 different scenarios.,0,0,0,0
192,Requirement 192: Hostel management system should handle 2 different scenarios.,0,0,0,0
193,Requirement 193: Hostel management system should handle 3 different scenarios.,0,0,0,0
194,Requirement 194: Hostel management system should handle 4 different scenarios.,0,0,0,0
195,Requirement 195: Hostel management system should handle 5 different scenarios.,0,0,0,0
196,Requirement 196: Hostel management system should handle 6 different scenarios.,0,0,0,0
197,Requirement 197: Hostel management system should handle 7 different scenarios.,0,0,0,0
198,Requirement 198: Hostel management system should handle 8 different scenarios.,0,0,0,0
199,Requirement 199: Hostel management system should handle 9 different scenarios.,0,0,0,0
200,Requirement 200: Hostel management system should handle 10 different scenarios.,0,0,0,0
